Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Cevallos, Adrian; Latorre, Lucia; Alicandro, Gianfranco; Wanner, Z’leste; Cerrato, Ignacio; Zarate, Jose Daniel; Alvarez, Juana; Villacreses, Karla; Pfeifer, Maria; Gutierrez, Mariana; ",Tech Report: Generative AI,,,,,2023,Inter-American Development Bank
"Wang, Shangwen; Lin, Bo; Sun, Zhensu; Wen, Ming; Liu, Yepang; Lei, Yan; Mao, Xiaoguang; ",Two birds with one stone: Boosting code generation and code search via a generative adversarial network,Proceedings of the ACM on Programming Languages,7,OOPSLA2,486-515,2023,"ACM New York, NY, USA"
"Vaithilingam, Priyan; Zhang, Tianyi; Glassman, Elena L; ",Expectation vs. experience: Evaluating the usability of code generation tools powered by large language models,Chi conference on human factors in computing systems extended abstracts,,,1-7,2022,
"Wen, Hao; Li, Yuanchun; Liu, Guohong; Zhao, Shanhui; Yu, Tao; Li, Toby Jia-Jun; Jiang, Shiqi; Liu, Yunhao; Zhang, Yaqin; Liu, Yunxin; ",Autodroid: Llm-powered task automation in android,Proceedings of the 30th Annual International Conference on Mobile Computing and Networking,,,543-557,2024,
"Seo, HyungBin; Yoon, MyungKeun; ",Generative intrusion detection and prevention on data stream,32nd USENIX Security Symposium (USENIX Security 23),,,4319-4335,2023,
"Horne, Robert I; Murtada, Mhd Hussein; Huo, Donghui; Brotzakis, Z Faidon; Gregory, Rebecca C; Possenti, Andrea; Chia, Sean; Vendruscolo, Michele; ",Exploration and exploitation approaches based on generative machine learning to identify potent small molecule inhibitors of α-synuclein secondary nucleation,Journal of chemical theory and computation,19,14,4701-4710,2023,ACS Publications
"Li, Minghan; Chen, Xilun; Holtzman, Ari; Chen, Beidi; Lin, Jimmy; Yih, Scott; Lin, Victoria; ",Nearest neighbor speculative decoding for llm generation and attribution,Advances in Neural Information Processing Systems,37,,80987-81015,2024,
"Holmes, Wayne; Miao, Fengchun; ",Guidance for generative AI in education and research,,,,,2023,UNESCO Publishing
"Su, Jiahong; Yang, Weipeng; ",Unlocking the power of ChatGPT: A framework for applying generative AI in education,ECNU Review of Education,6,3,355-366,2023,"SAGE Publications Sage UK: London, England"
"Sheese, Brad; Liffiton, Mark; Savelka, Jaromir; Denny, Paul; ",Patterns of student help-seeking when using a large language model-powered programming assistant,Proceedings of the 26th Australasian computing education conference,,,49-57,2024,
"Perkins, Mike; Roe, Jasper; ",The use of Generative AI in qualitative analysis: Inductive thematic analysis with ChatGPT,Journal of Applied Learning and Teaching,7,1,,2024,
"Akyash, Mohammad; Mardani Kamali, Hadi; ",SimEval: Investigating the Similarity Obstacle in LLM-based Hardware Code Generation,Proceedings of the 30th Asia and South Pacific Design Automation Conference,,,1002-1007,2025,
"Chen, Binglin; Lewis, Colleen M; West, Matthew; Zilles, Craig; ",Plagiarism in the age of generative ai: cheating method change and learning loss in an intro to CS course,Proceedings of the Eleventh ACM Conference on Learning@ Scale,,,75-85,2024,
"Choi, Hyunjun; Moran, Jay; Matsumoto, Nicholas; Hernandez, Miguel E; Moore, Jason H; ",Aliro: an automated machine learning tool leveraging large language models,Bioinformatics,39,10,btad606,2023,Oxford University Press
"Esmradi, Aysan; Yip, Daniel Wankit; Chan, Chun Fai; ","A comprehensive survey of attack techniques, implementation, and mitigation strategies in large language models",International Conference on Ubiquitous Security,,,76-95,2023,Springer
"Park, Noseong; Mohammadi, Mahmoud; Gorde, Kshitij; Jajodia, Sushil; Park, Hongkyu; Kim, Youngmin; ",Data synthesis based on generative adversarial networks,arXiv preprint arXiv:1806.03384,,,,2018,
"Candelon, François; Gupta, Abhishek; Krayer, Lisa; Zhukov, Leonid; ",The CEO’s guide to the generative AI revolution,BCG Global,7,,,2023,
"Albanese, Federico; Ciolek, Daniel; D'Ippolito, Nicolas; ",Text sanitization beyond specific domains: Zero-shot redaction & substitution with large language models,arXiv preprint arXiv:2311.10785,,,,2023,
"Wang, Tao; Zhang, Yushu; Qi, Shuren; Zhao, Ruoyu; Xia, Zhihua; Weng, Jian; ",Security and privacy on generative data in aigc: A survey,ACM Computing Surveys,57,4,1-34,2024,"ACM New York, NY"
"Zeng, Yu; Zhou, Mo; Xue, Yuan; Patel, Vishal M; ",Securing deep generative models with universal adversarial signature,arXiv preprint arXiv:2305.16310,,,,2023,
"Guo, Chengquan; Liu, Xun; Xie, Chulin; Zhou, Andy; Zeng, Yi; Lin, Zinan; Song, Dawn; Li, Bo; ",Redcode: Risky code execution and generation benchmark for code agents,Advances in Neural Information Processing Systems,37,,106190-106236,2024,
"Thomas, Morgan; Smith, Robert T; O’Boyle, Noel M; de Graaf, Chris; Bender, Andreas; ",Comparison of structure-and ligand-based scoring functions for deep generative models: a GPCR case study,Journal of cheminformatics,13,1,39,2021,Springer
"Lin, Xinyu; Wang, Wenjie; Li, Yongqi; Yang, Shuo; Feng, Fuli; Wei, Yinwei; Chua, Tat-Seng; ",Data-efficient Fine-tuning for LLM-based Recommendation,Proceedings of the 47th international ACM SIGIR conference on research and development in information retrieval,,,365-374,2024,
"Fernandez, Pierre; Level, Anthony; Furon, Teddy; ",What Lies Ahead for Generative AI Watermarking,Tech. Rep,,,,2024,
"Hacker, Philipp; Engel, Andreas; Mauer, Marco; ",Regulating ChatGPT and other large generative AI models,"Proceedings of the 2023 ACM conference on fairness, accountability, and transparency",,,1112-1123,2023,
"Hua, Wenyue; Xu, Shuyuan; Ge, Yingqiang; Zhang, Yongfeng; ",How to index item ids for recommendation foundation models,Proceedings of the Annual International ACM SIGIR Conference on Research and Development in Information Retrieval in the Asia Pacific Region,,,195-204,2023,
"McDanel, Bradley; Novak, Ed; ",Designing LLM-Resistant Programming Assignments: Insights and Strategies for CS Educators,Proceedings of the 56th ACM Technical Symposium on Computer Science Education V. 1,,,756-762,2025,
"Morris, Meredith Ringel; ",Scientists' Perspectives on the Potential for Generative AI in their Fields,arXiv preprint arXiv:2304.01420,,,,2023,
"Pinna, Giovanni; Ravalico, Damiano; Rovito, Luigi; Manzoni, Luca; De Lorenzo, Andrea; ",Enhancing large language models-based code generation by leveraging genetic improvement,European Conference on Genetic Programming (Part of EvoStar),,,108-124,2024,Springer
"Zhou, Bolei; ",Interpreting generative adversarial networks for interactive image generation,International Workshop on Extending Explainable AI Beyond Deep Models and Classifiers,,,167-175,2020,Springer
"Mireshghallah, Niloofar; Antoniak, Maria; More, Yash; Choi, Yejin; Farnadi, Golnoosh; ",Trust no bot: Discovering personal disclosures in human-llm conversations in the wild,arXiv preprint arXiv:2407.11438,,,,2024,
"Quince, Zachery; Nikolic, Sasha; ","Student identification of the social, economic and environmental implications of using Generative Artificial Intelligence (GenAI): identifying student ethical awareness of ChatGPT from a scaffolded multi-stage assessment",European Journal of Engineering Education,,,1-20,2025,Taylor & Francis
"Peng, Cheng; Yang, Xi; Chen, Aokun; Smith, Kaleb E; PourNejatian, Nima; Costa, Anthony B; Martin, Cheryl; Flores, Mona G; Zhang, Ying; Magoc, Tanja; ",A study of generative large language model for medical research and healthcare,NPJ digital medicine,6,1,210,2023,Nature Publishing Group UK London
"Horne, Robert I; Wilson-Godber, Jared; González Díaz, Alicia; Brotzakis, Z Faidon; Seal, Srijit; Gregory, Rebecca C; Possenti, Andrea; Chia, Sean; Vendruscolo, Michele; ",Using generative modeling to endow with potency initially inert compounds with good bioavailability and low toxicity,Journal of Chemical Information and Modeling,64,3,590-596,2024,ACS Publications
"Bhat, Avinash; ",A human-centered approach to designing effective large language model (llm) based tools for writing software tutorials,,,,,2023,McGill University (Canada)
"Liu, Puzhuo; Sun, Chengnian; Zheng, Yaowen; Feng, Xuan; Qin, Chuan; Wang, Yuncheng; Xu, Zhenyang; Li, Zhi; Di, Peng; Jiang, Yu; ",Llm-powered static binary taint analysis,ACM Transactions on Software Engineering and Methodology,,,,2025,"ACM New York, NY"
"JIAWEI, WANG; Jiang, Renhe; Yang, Chuang; Wu, Zengqing; Shibasaki, Ryosuke; Koshizuka, Noboru; Xiao, Chuan; ",Large language models as urban residents: An llm agent framework for personal mobility generation,Advances in Neural Information Processing Systems,37,,124547-124574,2024,
"Sufi, Fahim; ",Just-in-Time News: An AI Chatbot for the Modern Information Age.,AI,6,2,,2025,
"Zeng, Xingchen; Gao, Ziyao; Ye, Yilin; Zeng, Wei; ",IntentTuner: an interactive framework for integrating human intentions in fine-tuning text-to-image generative models,Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems,,,1-18,2024,
"Neel, Seth; Chang, Peter; ",Privacy issues in large language models: A survey,arXiv preprint arXiv:2312.06717,,,,2023,
"Miao, Xupeng; Shi, Chunan; Duan, Jiangfei; Xi, Xiaoli; Lin, Dahua; Cui, Bin; Jia, Zhihao; ",Spotserve: Serving generative large language models on preemptible instances,"Proceedings of the 29th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, Volume 2",,,1112-1127,2024,
"Chen, Zekun; Peng, Linning; Hu, Aiqun; Fu, Hua; ",Generative adversarial network-based rogue device identification using differential constellation trace figure,EURASIP Journal on Wireless Communications and Networking,2021,1,72,2021,Springer
"Eze, Chibuike Samuel; Shamir, Lior; ",Analysis and prevention of AI-based phishing email attacks,Electronics,13,10,1839,2024,MDPI
"Lozhkov, Anton; Li, Raymond; Allal, Loubna Ben; Cassano, Federico; Lamy-Poirier, Joel; Tazi, Nouamane; Tang, Ao; Pykhtar, Dmytro; Liu, Jiawei; Wei, Yuxiang; ",Starcoder 2 and the stack v2: The next generation,arXiv preprint arXiv:2402.19173,,,,2024,
"Choudhuri, Rudrajit; Liu, Dylan; Steinmacher, Igor; Gerosa, Marco; Sarma, Anita; ",How far are we? the triumphs and trials of generative ai in learning software engineering,Proceedings of the IEEE/ACM 46th international conference on software engineering,,,1-13,2024,
"Ard, BJ; ",Copyright’s Latent Space: Generative AI and the Limits of Fair Use,,,,,2023,
"Sun, Hui; Zhu, Tianqing; Zhang, Zhiqiu; Jin, Dawei; Xiong, Ping; Zhou, Wanlei; ",Adversarial attacks against deep generative models on data: A survey,IEEE Transactions on Knowledge and Data Engineering,35,4,3367-3388,2021,IEEE
"Zhou, Xin; Cao, Sicong; Sun, Xiaobing; Lo, David; ",Large language model for vulnerability detection and repair: Literature review and the road ahead,ACM Transactions on Software Engineering and Methodology,,,,2024,"ACM New York, NY"
"Xu, Yungang; Zhang, Zhigang; You, Lei; Liu, Jiajia; Fan, Zhiwei; Zhou, Xiaobo; ",scIGANs: single-cell RNA-seq imputation using generative adversarial networks,Nucleic acids research,48,15,e85-e85,2020,Oxford University Press
"Taneja, Jubi; Laird, Avery; Yan, Cong; Musuvathi, Madan; Lahiri, Shuvendu K; ",Llm-vectorizer: Llm-based verified loop vectorizer,Proceedings of the 23rd ACM/IEEE International Symposium on Code Generation and Optimization,,,137-149,2025,
"Katz, Andrew; Gerhardt, Mitch; Soledad, Michelle; ",Using Generative Text Models to Create Qualitative Codebooks for Student Evaluations of Teaching,International Journal of Qualitative Methods,23,,16094069241293283,2024,"SAGE Publications Sage CA: Los Angeles, CA"
"Semeler, Alexandre; Pinto, Adilson Luiz; Koltay, Tibor; Rodrigues Dias, Thiago Magela; Oliveira, Arthur Longoni; Moreiro González, José Antonio; Frota Rozados, Helen Beatriz; ",ALGORITHMIC LITERACY: Generative Artificial Intelligence Technologies for Data Librarians.,EAI Endorsed Transactions on Scalable Information Systems,11,2,,2024,
"Bearman, Margaret; Tai, Joanna; Dawson, Phillip; Boud, David; Ajjawi, Rola; ",Developing evaluative judgement for a time of generative artificial intelligence,Assessment & Evaluation in Higher Education,49,6,893-905,2024,Taylor & Francis
"Agrawal, Garima; Kaur, Amardeep; Myneni, Sowmya; ",A review of generative models in generating synthetic attack data for cybersecurity,Electronics,13,2,322,2024,MDPI
"Dilhara, Malinda; Bellur, Abhiram; Bryksin, Timofey; Dig, Danny; ",Unprecedented code change automation: The fusion of llms and transformation by example,Proceedings of the ACM on Software Engineering,1,FSE,631-653,2024,"ACM New York, NY, USA"
"Ooi, Keng-Boon; Tan, Garry Wei-Han; Al-Emran, Mostafa; Al-Sharafi, Mohammed A; Capatina, Alexandru; Chakraborty, Amrita; Dwivedi, Yogesh K; Huang, Tzu-Ling; Kar, Arpan Kumar; Lee, Voon-Hsien; ",The potential of generative artificial intelligence across disciplines: Perspectives and future directions,Journal of Computer Information Systems,65,1,76-107,2025,Taylor & Francis
"Goldstein, Josh A; Sastry, Girish; Musser, Micah; DiResta, Renee; Gentzel, Matthew; Sedova, Katerina; ",Generative language models and automated influence operations: Emerging threats and potential mitigations,arXiv preprint arXiv:2301.04246,,,,2023,
"Ko, Myeongseob; Li, Henry; Wang, Zhun; Patsenker, Jonathan; Wang, Jiachen Tianhao; Li, Qinbin; Jin, Ming; Song, Dawn; Jia, Ruoxi; ",Boosting alignment for post-unlearning text-to-image generative models,Advances in Neural Information Processing Systems,37,,85131-85154,2024,
"Khoramnejad, Fahime; Hossain, Ekram; ","Generative AI for the optimization of next-generation wireless networks: Basics, state-of-the-art, and open challenges",IEEE Communications Surveys & Tutorials,,,,2025,IEEE
"Bai, Ching-Yuan; Lin, Hsuan-Tien; Raffel, Colin; Kan, Wendy Chi-wen; ",On training sample memorization: Lessons from benchmarking generative modeling with a large-scale competition,Proceedings of the 27th ACM SIGKDD conference on knowledge discovery & data mining,,,2534-2542,2021,
"Kilovaty, Ido; ",Hacking generative AI,Loyola of Los Angeles Law Review,58,,,2025,
"Prather, James; Denny, Paul; Leinonen, Juho; Becker, Brett A; Albluwi, Ibrahim; Craig, Michelle; Keuning, Hieke; Kiesler, Natalie; Kohn, Tobias; Luxton-Reilly, Andrew; ",The robots are here: Navigating the generative ai revolution in computing education,Proceedings of the 2023 working group reports on innovation and technology in computer science education,,,108-159,2023,
"Xiao, Tao; Hata, Hideaki; Treude, Christoph; Matsumoto, Kenichi; ","Generative ai for pull request descriptions: Adoption, impact, and developer interventions",Proceedings of the ACM on Software Engineering,1,FSE,1043-1065,2024,"ACM New York, NY, USA"
"Ghimire, Prashnna; Kim, Kyungki; Acharya, Manoj; ",Opportunities and challenges of generative AI in construction industry: Focusing on adoption of text-based models,Buildings,14,1,220,2024,MDPI
"Khojah, Ranim; Mohamad, Mazen; Leitner, Philipp; de Oliveira Neto, Francisco Gomes; ",Beyond code generation: An observational study of chatgpt usage in software engineering practice,Proceedings of the ACM on Software Engineering,1,FSE,1819-1840,2024,"ACM New York, NY, USA"
"Houde, Stephanie; Ross, Steven I; Muller, Michael; Agarwal, Mayank; Martinez, Fernando; Richards, John; Talamadupula, Kartik; Weisz, Justin D; ",Opportunities for generative AI in UX modernization,"Joint International Conference on Intelligent User Interfaces Workshops: APEx-UI, HAI-GEN, HEALTHI, HUMANIZE, TExSS, SOCIALIZE",,,,2022,
"Ma, Zexiong; An, Shengnan; Xie, Bing; Lin, Zeqi; ",Compositional API recommendation for library-oriented code generation,Proceedings of the 32nd IEEE/ACM International Conference on Program Comprehension,,,87-98,2024,
"Huang, Qing; Sun, Yanbang; Xing, Zhenchang; Yu, Min; Xu, Xiwei; Lu, Qinghua; ",Api entity and relation joint extraction from text via dynamic prompt-tuned language model,ACM Transactions on Software Engineering and Methodology,33,1,1-25,2023,"ACM New York, NY"
"Scarlatos, Alexander; Smith, Digory; Woodhead, Simon; Lan, Andrew; ",Improving the validity of automatically generated feedback via reinforcement learning,International Conference on Artificial Intelligence in Education,,,280-294,2024,Springer
"Wang, Qizhou; Zhou, Jin Peng; Zhou, Zhanke; Shin, Saebyeol; Han, Bo; Weinberger, Kilian Q; ",Rethinking LLM Unlearning Objectives: A Gradient Perspective and Go Beyond,arXiv preprint arXiv:2502.19301,,,,2025,
"Manfredi-Sánchez, Juan Luis; Morales, Pablo Sebastian; ",Generative AI and the future for China’s diplomacy,Place Branding and Public Diplomacy,,,1-5,2024,Springer
"Resnik, David B; Hosseini, Mohammad; ",The ethics of using artificial intelligence in scientific research: new guidance needed for a new tool,AI and Ethics,,,1-23,2024,Springer
"Guha, Neel; Nyarko, Julian; Ho, Daniel; Ré, Christopher; Chilton, Adam; Chohlas-Wood, Alex; Peters, Austin; Waldon, Brandon; Rockmore, Daniel; Zambrano, Diego; ",Legalbench: A collaboratively built benchmark for measuring legal reasoning in large language models,Advances in Neural Information Processing Systems,36,,44123-44279,2023,
"Wadhwa, Nalin; Pradhan, Jui; Sonwane, Atharv; Sahu, Surya Prakash; Natarajan, Nagarajan; Kanade, Aditya; Parthasarathy, Suresh; Rajamani, Sriram; ",Core: Resolving code quality issues using llms,Proceedings of the ACM on Software Engineering,1,FSE,789-811,2024,"ACM New York, NY, USA"
"Hannigan, Timothy R; McCarthy, Ian P; Spicer, André; ",Beware of botshit: How to manage the epistemic risks of generative chatbots,Business Horizons,67,5,471-486,2024,Elsevier
"Xu, Xiang; Lambourne, Joseph; Jayaraman, Pradeep; Wang, Zhengqing; Willis, Karl; Furukawa, Yasutaka; ",Brepgen: A b-rep generative diffusion model with structured latent geometry,ACM Transactions on Graphics (TOG),43,4,1-14,2024,"ACM New York, NY, USA"
"Chang, Yapei; Lo, Kyle; Goyal, Tanya; Iyyer, Mohit; ",Booookscore: A systematic exploration of book-length summarization in the era of llms,arXiv preprint arXiv:2310.00785,,,,2023,
"Ma, Mingyu Derek; Wang, Xiaoxuan; Kung, Po-Nien; Brantingham, P Jeffrey; Peng, Nanyun; Wang, Wei; ",STAR: boosting low-resource information extraction by structure-to-text data generation with large language models,Proceedings of the AAAI Conference on Artificial Intelligence,38,17,18751-18759,2024,
"Hirn, Johannes; García, José Enrique; Montesinos‐Navarro, Alicia; Sánchez‐Martín, Ricardo; Sanz, Veronica; Verdú, Miguel; ",A deep generative artificial intelligence system to predict species coexistence patterns,Methods in Ecology and Evolution,13,5,1052-1061,2022,Wiley Online Library
"Wu, Shirley; Zhao, Shiyu; Huang, Qian; Huang, Kexin; Yasunaga, Michihiro; Cao, Kaidi; Ioannidis, Vassilis; Subbian, Karthik; Leskovec, Jure; Zou, James Y; ",Avatar: Optimizing llm agents for tool usage via contrastive reasoning,Advances in Neural Information Processing Systems,37,,25981-26010,2024,
"Zheng, Lianmin; Chiang, Wei-Lin; Sheng, Ying; Li, Tianle; Zhuang, Siyuan; Wu, Zhanghao; Zhuang, Yonghao; Li, Zhuohan; Lin, Zi; Xing, Eric P; ",Lmsys-chat-1m: A large-scale real-world llm conversation dataset,arXiv preprint arXiv:2309.11998,,,,2023,
"Budhwar, Pawan; Chowdhury, Soumyadeb; Wood, Geoffrey; Aguinis, Herman; Bamber, Greg J; Beltran, Jose R; Boselie, Paul; Lee Cooke, Fang; Decker, Stephanie; DeNisi, Angelo; ",Human resource management in the age of generative artificial intelligence: Perspectives and research directions on ChatGPT,Human Resource Management Journal,33,3,606-659,2023,Wiley Online Library
"Iqbal, Umar; Kohno, Tadayoshi; Roesner, Franziska; ",Llm platform security: applying a systematic evaluation framework to openai's chatgpt plugins,"Proceedings of the AAAI/ACM Conference on AI, Ethics, and Society",7,,611-623,2024,
"Wang, Yan; Li, Xiaoning; Nguyen, Tien N; Wang, Shaohua; Ni, Chao; Ding, Ling; ",Natural is the best: Model-agnostic code simplification for pre-trained large language models,Proceedings of the ACM on Software Engineering,1,FSE,586-608,2024,"ACM New York, NY, USA"
"Nam, Jaehyun; Kim, Kyuyoung; Oh, Seunghyuk; Tack, Jihoon; Kim, Jaehyung; Shin, Jinwoo; ",Optimized feature generation for tabular data via llms with decision tree reasoning,Advances in Neural Information Processing Systems,37,,92352-92380,2024,
"Liu, Zhe; Chen, Chunyang; Wang, Junjie; Chen, Mengzhuo; Wu, Boyu; Che, Xing; Wang, Dandan; Wang, Qing; ",Make llm a testing expert: Bringing human-like interaction to mobile gui testing via functionality-aware decisions,Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,,,1-13,2024,
"de Kok, Ties; ",ChatGPT for textual analysis? How to use generative LLMs in accounting research,Management Science,,,,2025,INFORMS
"Attard-Frost, Blair; ",Generative AI systems: impacts on artists & creators and related gaps in the artificial intelligence and data act,Available at SSRN 4468637,,,,2023,
"Li, Qinbin; Hong, Junyuan; Xie, Chulin; Tan, Jeffrey; Xin, Rachel; Hou, Junyi; Yin, Xavier; Wang, Zhun; Hendrycks, Dan; Wang, Zhangyang; ",Llm-pbe: Assessing data privacy in large language models,arXiv preprint arXiv:2408.12787,,,,2024,
"Waikel, Rebekah L; Othman, Amna A; Patel, Tanviben; Hanchard, Suzanna Ledgister; Hu, Ping; Tekendo-Ngongang, Cedrik; Duong, Dat; Solomon, Benjamin D; ",Generative methods for pediatric genetics education,medRxiv,,,,2023,
"Romero Moreno, Felipe; ",Generative AI and deepfakes: a human rights approach to tackling harmful content,"International Review of Law, Computers & Technology",38,3,297-326,2024,Taylor & Francis
"Polak, Maciej P; Morgan, Dane; ",Extracting accurate materials data from research papers with conversational language models and prompt engineering,Nature Communications,15,1,1569,2024,Nature Publishing Group UK London
"Rauba, Paulius; Seedat, Nabeel; Kacprzyk, Krzysztof; van der Schaar, Mihaela; ",Self-healing machine learning: A framework for autonomous adaptation in real-world environments,Advances in Neural Information Processing Systems,37,,42225-42267,2024,
"Tan, Corinne; ",Regulating Social Media: Copyright's Regulation of Content-Generative User Behaviours on Instagram,"Corinne Tan,'Regulating Social Media: Copyright's Regulation of Content-Generative User Behaviours on Instagram'(2018)",2,,,2018,
"Schetinger, Victor; Di Bartolomeo, Sara; El‐Assady, Mennatallah; McNutt, Andrew; Miller, Matthias; Passos, João Paulo Apolinário; Adams, Jane Lydia; ",Doom or deliciousness: Challenges and opportunities for visualization in the age of generative models,Computer Graphics Forum,42,3,423-435,2023,Wiley Online Library
"Penedo, Guilherme; Malartic, Quentin; Hesslow, Daniel; Cojocaru, Ruxandra; Cappelli, Alessandro; Alobeidli, Hamza; Pannier, Baptiste; Almazrouei, Ebtesam; Launay, Julien; ","The RefinedWeb dataset for Falcon LLM: outperforming curated corpora with web data, and web data only",arXiv preprint arXiv:2306.01116,,,,2023,
"Chen, Chen; Fu, Jie; Lyu, Lingjuan; ",A pathway towards responsible ai generated content,arXiv preprint arXiv:2303.01325,,,,2023,
"Aghajanyan, Armen; Yu, Lili; Conneau, Alexis; Hsu, Wei-Ning; Hambardzumyan, Karen; Zhang, Susan; Roller, Stephen; Goyal, Naman; Levy, Omer; Zettlemoyer, Luke; ",Scaling laws for generative mixed-modal language models,International Conference on Machine Learning,,,265-279,2023,PMLR
"Liu, Mengting; Zhu, Alyssa H; Maiti, Piyush; Thomopoulos, Sophia I; Gadewar, Shruti; Chai, Yaqiong; Kim, Hosung; Jahanshad, Neda; Alzheimer's Disease Neuroimaging Initiative; ",Style transfer generative adversarial networks to harmonize multisite MRI to a single reference image to avoid overcorrection,Human Brain Mapping,44,14,4875-4892,2023,Wiley Online Library
