"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Front Matter","",,2023 IEEE International Instrumentation and Measurement Technology Conference (I2MTC),"13 Jul 2023","2023","","","4","90","","2642-2077","978-1-6654-5383-7","10.1109/I2MTC53148.2023.10175933","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10175933","","","","","","","IEEE","13 Jul 2023","","","IEEE","IEEE Conferences"
"Front Matter","",,2023 15th Biomedical Engineering International Conference (BMEiCON),"22 Nov 2023","2023","","","i","cliv","","2473-7607","979-8-3503-4524-7","10.1109/BMEiCON60347.2023.10322065","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10322065","","","","","","","IEEE","22 Nov 2023","","","IEEE","IEEE Conferences"
"Generative AI in the Software Development Lifecycle","T. T. Bannon; P. Laplante","MITRE Corporation, Bedford, MA, USA; NIST, Gaithersburg, MD, USA",Computer,"18 Nov 2024","2024","57","12","27","34","We conducted a virtual roundtable on generative AI (GenAI), human/machine teaming, and the future of the software development lifecycle (SDLC). Experts from industry, academia, and government explored how GenAI is transforming the SDLC across mission and business domains.","1558-0814","","10.1109/MC.2024.3474789","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10755990","","Industries;Generative AI;Government;Software development management;Business","","","","0","USGov","18 Nov 2024","","","IEEE","IEEE Magazines"
"Copyright Page","",,"2024 IEEE International Conference on Signal Processing, Communications and Computing (ICSPCC)","4 Dec 2024","2024","","","1","85","","2837-116X","979-8-3503-6655-6","10.1109/ICSPCC62635.2024.10770401","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10770401","","","","","","","IEEE","4 Dec 2024","","","IEEE","IEEE Conferences"
"Conference Guide [Front matter]","",,"2020 16th International Conference on Control, Automation, Robotics and Vision (ICARCV)","8 Jan 2021","2020","","","1","115","Conference proceedings front matter may contain various advertisements, welcome messages, committee or program information, and other miscellaneous conference information. This may in some cases also include the cover art, table of contents, copyright statements, title-page or half title-pages, blank pages, venue maps or other general information relating to the conference that was part of the original conference proceedings.","","978-1-7281-7709-0","10.1109/ICARCV50220.2020.9305477","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9305477","","","","","","","IEEE","8 Jan 2021","","","IEEE","IEEE Conferences"
"[Front matter]","",,2020 IEEE Congress on Evolutionary Computation (CEC),"3 Sep 2020","2020","","","4","46","Conference proceedings front matter may contain various advertisements, welcome messages, committee or program information, and other miscellaneous conference information. This may in some cases also include the cover art, table of contents, copyright statements, title-page or half title-pages, blank pages, venue maps or other general information relating to the conference that was part of the original conference proceedings.","","978-1-7281-6929-3","10.1109/CEC48606.2020.9185689","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9185689","","","","","","","IEEE","3 Sep 2020","","","IEEE","IEEE Conferences"
"[Front matter]","",,2020 International Joint Conference on Neural Networks (IJCNN),"28 Sep 2020","2020","","","4","117","Conference proceedings front matter may contain various advertisements, welcome messages, committee or program information, and other miscellaneous conference information. This may in some cases also include the cover art, table of contents, copyright statements, title-page or half title-pages, blank pages, venue maps or other general information relating to the conference that was part of the original conference proceedings.","2161-4407","978-1-7281-6926-2","10.1109/IJCNN48605.2020.9207579","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9207579","","","","","","","IEEE","28 Sep 2020","","","IEEE","IEEE Conferences"
"IEEE MI-STA2023 Conference Proceeding","",,2023 IEEE 3rd International Maghreb Meeting of the Conference on Sciences and Techniques of Automatic Control and Computer Engineering (MI-STA),"6 Jul 2023","2023","","","1","890","","","979-8-3503-1989-7","10.1109/MI-STA57575.2023.10169614","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10169614","","","","","","","IEEE","6 Jul 2023","","","IEEE","IEEE Conferences"
"ICCAD 2022 Conference Proceedings","",,2022 IEEE/ACM International Conference On Computer Aided Design (ICCAD),"22 Mar 2023","2022","","","1","1467","","1558-2434","978-1-4503-9217-4","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10069029","","","","","","","","22 Mar 2023","","","IEEE","IEEE Conferences"
"ICCE-Taiwan 2023 Conference Proceedings","",,2023 International Conference on Consumer Electronics - Taiwan (ICCE-Taiwan),"31 Aug 2023","2023","","","1","891","","2575-8284","979-8-3503-2417-4","10.1109/ICCE-Taiwan58799.2023.10226807","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10226807","","","","","","","IEEE","31 Aug 2023","","","IEEE","IEEE Conferences"
"MLCAD 2024 Cover Page","",,2024 ACM/IEEE 6th Symposium on Machine Learning for CAD (MLCAD),"6 Nov 2024","2024","","","c1","c321","","","979-8-3503-6356-2","10.1109/MLCAD62225.2024.10740232","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10740232","","","","","","","IEEE","6 Nov 2024","","","IEEE","IEEE Conferences"
"CICED 2022 Conference Proceeding","",,2022 China International Conference on Electricity Distribution (CICED),"2 Nov 2022","2022","","","1","1825","Presents the front cover, title page, or splash screen of the proceedings record.","2161-749X","978-1-6654-5268-7","10.1109/CICED56215.2022.9929149","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9929149","","","","","","","IEEE","2 Nov 2022","","","IEEE","IEEE Conferences"
"RGB-D salient object detection: A survey","T. Zhou; D. -P. Fan; M. -M. Cheng; J. Shen; L. Shao","Inception Institute of Artificial Intelligence (IIAI), Abu Dhabi, United Arab Emirates; Inception Institute of Artificial Intelligence (IIAI), Abu Dhabi, United Arab Emirates; CS, Nankai University, Tianjin 300350, China; Inception Institute of Artificial Intelligence (IIAI), Abu Dhabi, United Arab Emirates; Inception Institute of Artificial Intelligence (IIAI), Abu Dhabi, United Arab Emirates",Computational Visual Media,"20 Feb 2025","2021","7","1","37","69","Salient object detection, which simulates human visual perception in locating the most significant object(s) in a scene, has been widely applied to various computer vision tasks. Now, the advent of depth sensors means that depth maps can easily be captured; this additional spatial information can boost the performance of salient object detection. Although various RGB-D based salient object detection models with promising performance have been proposed over the past several years, an in-depth understanding of these models and the challenges in this field remains lacking. In this paper, we provide a comprehensive survey of RGB- D based salient object detection models from various perspectives, and review related benchmark datasets in detail. Further, as light fields can also provide depth maps, we review salient object detection models and popular benchmark datasets from this domain too. Moreover, to investigate the ability of existing models to detect salient objects, we have carried out a comprehensive attribute-based evaluation of several representative RGB-D based salient object detection models. Finally, we discuss several challenges and open directions of RGB-D based salient object detection for future research. All collected models, benchmark datasets, datasets constructed for attribute-based evaluation, and related code are publicly available at https://github.com/taozh2017/RGBD-SODsurvey.","2096-0662","","10.1007/s41095-020-0199-z","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10897410","RGB-D;saliency;light fields;benchmarks","","","3","","","","20 Feb 2025","","","TUP","TUP Journals"
"A survey of visual analytics techniques for machine learning","J. Yuan; C. Chen; W. Yang; M. Liu; J. Xia; S. Liu","BNRist, Tsinghua University, Beijing 100086, China; BNRist, Tsinghua University, Beijing 100086, China; BNRist, Tsinghua University, Beijing 100086, China; Microsoft, Redmond 98052, USA; Central South University, Changsha 410083, China; BNRist, Tsinghua University, Beijing 100086, China",Computational Visual Media,"20 Feb 2025","2021","7","1","3","36","Visual analytics for machine learning has recently evolved as one of the most exciting areas in the field of visualization. To better identify which research topics are promising and to learn how to apply relevant techniques in visual analytics, we systematically review 259 papers published in the last ten years together with representative works before 2010. We build a taxonomy, which includes three first-level categories: techniques before model building, techniques during modeling building, and techniques after model building. Each category is further characterized by representative analysis tasks, and each task is exemplified by a set of recent influential works. We also discuss and highlight research challenges and promising potential future research opportunities useful for visual analytics researchers.","2096-0662","","10.1007/s41095-020-0191-7","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10897409","visual analytics;machine learning;data quality;feature selection;model understanding;content analysis","","","","","","","20 Feb 2025","","","TUP","TUP Journals"
"Conference Digest","",,2023 IEEE Aerospace Conference,"15 May 2023","2023","","","1","367","","1095-323X","978-1-6654-9032-0","10.1109/AERO55745.2023.10115630","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10115630","","","","","","","IEEE","15 May 2023","","","IEEE","IEEE Conferences"
"IET-ICETA 2022 Conference Proceedings","",,2022 IET International Conference on Engineering Technologies and Applications (IET-ICETA),"8 Dec 2022","2022","","","1","296","Presents the front cover, title page, cover page, or splash screen of the proceedings record.","","978-1-6654-9138-9","10.1109/IET-ICETA56553.2022.9971644","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9971644","","","","1","","","IEEE","8 Dec 2022","","","IEEE","IEEE Conferences"
"ICCE-Taiwan 2024 TOC","",,2024 International Conference on Consumer Electronics - Taiwan (ICCE-Taiwan),"18 Sep 2024","2024","","","1","826","","2575-8284","979-8-3503-8684-4","10.1109/ICCE-Taiwan62264.2024.10674539","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10674539","","","","","","","IEEE","18 Sep 2024","","","IEEE","IEEE Conferences"
"Front Matter","",,2024 18th European Conference on Antennas and Propagation (EuCAP),"26 Apr 2024","2024","","","1","378","","","978-88-31299-09-1","10.23919/EuCAP60739.2024.10500924","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10500924","","","","","","","","26 Apr 2024","","","IEEE","IEEE Conferences"
"FPT 22 on Site Proceedings","",,2022 International Conference on Field-Programmable Technology (ICFPT),"15 Dec 2022","2022","","","1","354","Presents the front cover, title page, cover page, or splash screen of the proceedings record.","","978-1-6654-5336-3","10.1109/ICFPT56656.2022.9974397","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9974397","","","","","","","IEEE","15 Dec 2022","","","IEEE","IEEE Conferences"
"EMC+SIPI 2024 TOC","",,"2024 IEEE International Symposium on Electromagnetic Compatibility, Signal & Power Integrity (EMC+SIPI)","9 Oct 2024","2024","","","i","ciii","","2158-1118","979-8-3503-6039-4","10.1109/EMCSIPI49824.2024.10705444","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10705444","","","","","","","IEEE","9 Oct 2024","","","IEEE","IEEE Conferences"
"APCCAS 2024 Cover Page","",,2024 IEEE Asia Pacific Conference on Circuits and Systems (APCCAS),"27 Dec 2024","2024","","","c1","c107","","2768-3516","979-8-3503-7877-1","10.1109/APCCAS62602.2024.10808902","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10808902","","","","","","","IEEE","27 Dec 2024","","","IEEE","IEEE Conferences"
"Proceedings of 2022 Fifth National Conference of Saudi Computers Colleges (NCCC)","",,2022 Fifth National Conference of Saudi Computers Colleges (NCCC),"20 Mar 2023","2022","","","1","188","","","979-8-3503-3368-8","10.1109/NCCC57165.2022.10067444","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10067444","","","","1","","","IEEE","20 Mar 2023","","","IEEE","IEEE Conferences"
"Front Matter","",,2023 10th International Conference on Signal Processing and Integrated Networks (SPIN),"9 May 2023","2023","","","i","li","","2688-769X","978-1-6654-9099-3","10.1109/SPIN57001.2023.10116557","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10116557","","","","","","","IEEE","9 May 2023","","","IEEE","IEEE Conferences"
"EMBC 2020 Program in Chronological Order","",,2020 42nd Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC),"27 Aug 2020","2020","","","i","cxxxiv","Provides a schedule of conference events and a listing of which papers were presented in each session.","2694-0604","978-1-7281-1990-8","10.1109/EMBC44109.2020.9175757","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9175757","","","","","","","IEEE","27 Aug 2020","","","IEEE","IEEE Conferences"
"Table of Contents","",,IGARSS 2018 - 2018 IEEE International Geoscience and Remote Sensing Symposium,"4 Nov 2018","2018","","","xvii","ccxix","Presents the table of contents/splash page of the proceedings record.","2153-7003","978-1-5386-7150-4","10.1109/IGARSS.2018.8517789","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8517789","","","","","","","IEEE","4 Nov 2018","","","IEEE","IEEE Conferences"
"Schedule","",,2018 Zooming Innovation in Consumer Technologies Conference (ZINC),"30 Aug 2018","2018","","","1","16","Provides a schedule of conference events and a listing of which papers were presented in each session.","","978-1-5386-4927-5","10.1109/ZINC.2018.8448868","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8448868","","","","","","","IEEE","30 Aug 2018","","","IEEE","IEEE Conferences"
"GCCE 2023 Abstract Book","",,2023 IEEE 12th Global Conference on Consumer Electronics (GCCE),"16 Nov 2023","2023","","","34","166","","2693-0854","979-8-3503-4018-1","10.1109/GCCE59613.2023.10315362","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10315362","","","","","","","IEEE","16 Nov 2023","","","IEEE","IEEE Conferences"
"ICCE 2019 Technical Program","",,2019 IEEE International Conference on Consumer Electronics (ICCE),"7 Mar 2019","2019","","","i","xliv","Provides a schedule of conference events and a listing of which papers were presented in each session.","2158-4001","978-1-5386-7910-4","10.1109/ICCE.2019.8661996","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8661996","","","","","","","IEEE","7 Mar 2019","","","IEEE","IEEE Conferences"
"ICCE 2024 TOC","",,2024 IEEE International Conference on Consumer Electronics (ICCE),"28 Feb 2024","2024","","","i","cl","","2158-4001","979-8-3503-2413-6","10.1109/ICCE59016.2024.10444351","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10444351","","","","","","","IEEE","28 Feb 2024","","","IEEE","IEEE Conferences"
"Table of contents","",,2019 41st Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),"7 Oct 2019","2019","","","i","cxciii","Presents the table of contents/splash page of the proceedings record.","1558-4615","978-1-5386-1311-5","10.1109/EMBC.2019.8856741","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8856741","","","","","","","IEEE","7 Oct 2019","","","IEEE","IEEE Conferences"
"Scanning the Issue","A. Eskandarian","Nicholas and Rebecca Des Champs Professor and Department Head, Mechanical Engineering Department, Virginia Tech, Blacksburg, VA, USA",IEEE Transactions on Intelligent Transportation Systems,"1 Mar 2023","2023","24","3","2692","2704","Summary form only. Presents a summary of articles presented in this issue of the publication.","1558-0016","","10.1109/TITS.2023.3245666","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10057097","","","","","","0","IEEE","1 Mar 2023","","","IEEE","IEEE Journals"
"Agenda of Sessions â€” Sunday, 3 March","",,2020 Optical Fiber Communications Conference and Exhibition (OFC),"4 May 2020","2020","","","1","101","Provides a schedule of conference events and a listing of which papers were presented in each session.","","978-1-9435-8071-2","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9083615","","","","","","","","4 May 2020","","","IEEE","IEEE Conferences"
"Cover","",,2024 Argentine Conference on Electronics (CAE),"5 Apr 2024","2024","","","C1","171","","2836-1024","979-8-3503-0508-1","10.1109/CAE59785.2024.10487120","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10487120","","","","","","","IEEE","5 Apr 2024","","","IEEE","IEEE Conferences"
"Table of Contents","",,2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),"16 Sep 2024","2024","","","v","cccxlii","","2575-7075","979-8-3503-5300-6","10.1109/CVPR52733.2024.00004","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10656301","","","","","","","IEEE","16 Sep 2024","","","IEEE","IEEE Conferences"
"Table of Contents","",,2024 32nd European Signal Processing Conference (EUSIPCO),"23 Oct 2024","2024","","","xiii","lxi","","2076-1465","978-9-4645-9361-7","10.23919/EUSIPCO63174.2024.10715458","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10715458","","","","","","","","23 Oct 2024","","","IEEE","IEEE Conferences"
"SWC 2023 TOC","",,2023 IEEE Smart World Congress (SWC),"1 Mar 2024","2023","","","i","xviii","","","979-8-3503-1980-4","10.1109/SWC57546.2023.10448894","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10448894","","","","","","","IEEE","1 Mar 2024","","","IEEE","IEEE Conferences"
"Technical Program","",,2023 IEEE International Conference on Consumer Electronics (ICCE),"17 Feb 2023","2023","","","1","112","","2158-4001","978-1-6654-9130-3","10.1109/ICCE56470.2023.10043375","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10043375","","","","","","","IEEE","17 Feb 2023","","","IEEE","IEEE Conferences"
"Table of Contents","",,2021 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),"2 Nov 2021","2021","","","5","165","Presents the table of contents/splash page of the proceedings record.","2575-7075","978-1-6654-4509-2","10.1109/CVPR46437.2021.00004","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9578286","","","","","","","IEEE","2 Nov 2021","","","IEEE","IEEE Conferences"
"Front Matter","",,2024 15th International Conference on Information and Communication Technology Convergence (ICTC),"14 Jan 2025","2024","","","1","132","","2162-1241","979-8-3503-6463-7","10.1109/ICTC62082.2024.10826679","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10826679","","","","","","","IEEE","14 Jan 2025","","","IEEE","IEEE Conferences"
"ICARES 2023 Cover Page","",,2023 IEEE International Conference on Aerospace Electronics and Remote Sensing Technology (ICARES),"4 Dec 2023","2023","","","c1","c28","","","979-8-3503-4400-4","10.1109/ICARES60489.2023.10329793","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10329793","","","","","","","IEEE","4 Dec 2023","","","IEEE","IEEE Conferences"
"Table of contents","",,2018 First International Conference on Secure Cyber Computing and Communication (ICSCCC),"2 May 2019","2018","","","20","26","Presents the table of contents/splash page of the proceedings record.","","978-1-5386-6373-8","10.1109/ICSCCC.2018.8703274","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8703274","","","","","","","IEEE","2 May 2019","","","IEEE","IEEE Conferences"
"CCDC 2024 TOC","",,2024 36th Chinese Control and Decision Conference (CCDC),"17 Jul 2024","2024","","","i","cccii","","1948-9447","979-8-3503-8778-0","10.1109/CCDC62350.2024.10588366","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10588366","","","","","","","IEEE","17 Jul 2024","","","IEEE","IEEE Conferences"
"[Front cover]","",,"2019 IEEE CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies (CHILECON)","10 Feb 2020","2019","","","c1","c65","Presents the front cover or splash screen of the proceedings record.","","978-1-7281-3185-6","10.1109/CHILECON47746.2019.8987523","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8987523","","","","","","","IEEE","10 Feb 2020","","","IEEE","IEEE Conferences"
"Front Mattter","",,"2024 17th International Congress on Image and Signal Processing, BioMedical Engineering and Informatics (CISP-BMEI)","7 Mar 2025","2024","","","1","30","","","979-8-3315-0739-8","10.1109/CISP-BMEI64163.2024.10906261","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10906261","","","","","","","IEEE","7 Mar 2025","","","IEEE","IEEE Conferences"
"2022 IEEE 21st International Conference on Sciences and Techniques of Automatic Control and Computer Engineering (STA)","",,2022 IEEE 21st international Ccnference on Sciences and Techniques of Automatic Control and Computer Engineering (STA),"25 Jan 2023","2022","","","1","769","Presents the front cover, title page, cover page, or splash screen of the proceedings record.","2573-539X","978-1-6654-8261-5","10.1109/STA56120.2022.10019197","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10019197","","","","","","","IEEE","25 Jan 2023","","","IEEE","IEEE Conferences"
"A survey of recent interactive image segmentation methods","H. Ramadan; C. Lachqar; H. Tairi","Department of Informatics, Faculty of Sciences Dhar El Mahraz, University of Sidi Mohamed Ben Abdellah, Fez 30000, Morocco; Faculty of Medicine and Pharmacy, University of Sidi Mohamed Ben Abdellah, Fez 30000, Morocco; Department of Informatics, Faculty of Sciences Dhar El Mahraz, University of Sidi Mohamed Ben Abdellah, Fez 30000, Morocco",Computational Visual Media,"20 Feb 2025","2020","6","4","355","384","Image segmentation is one of the most basic tasks in computer vision and remains an initial step of many applications. In this paper, we focus on interactive image segmentation (IIS), often referred to as foreground-background separation or object extraction, guided by user interaction. We provide an overview of the IIS literature by covering more than 150 publications, especially recent works that have not been surveyed before. Moreover, we try to give a comprehensive classification of them according to different viewpoints and present a general and concise comparison of the most recent published works. Furthermore, we survey widely used datasets, evaluation metrics, and available resources in the field of IIS.","2096-0662","","10.1007/s41095-020-0177-5","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10897329","interactive image segmentation;user interaction;label propagation;deep learning;superpixels","","","","","","","20 Feb 2025","","","TUP","TUP Journals"
"IRMMW-THz 2019 Complete Program Guide","",,"2019 44th International Conference on Infrared, Millimeter, and Terahertz Waves (IRMMW-THz)","21 Oct 2019","2019","","","i","ccxiii","Provides a schedule of conference events and a listing of which papers were presented in each session.","2162-2035","978-1-5386-8285-2","10.1109/IRMMW-THz.2019.8873967","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8873967","","","","","","","IEEE","21 Oct 2019","","","IEEE","IEEE Conferences"
"Program Book","",,2020 5th International Conference on Universal Village (UV),"11 May 2021","2020","","","1","138","Provides a schedule of conference events and a listing of which papers were presented in each session.","","978-1-7281-9523-0","10.1109/UV50937.2020.9426196","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9426196","","","","","","","IEEE","11 May 2021","","","IEEE","IEEE Conferences"
"ITC-Egypt 2022 Conference Proceedings","",,2022 International Telecommunications Conference (ITC-Egypt),"19 Aug 2022","2022","","","i","dxcvi","Presents the front cover or splash screen of the proceedings record.","","978-1-6654-8808-2","10.1109/ITC-Egypt55520.2022.9855762","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9855762","","","","","","","IEEE","19 Aug 2022","","","IEEE","IEEE Conferences"
"Program","",,2024 International Conference on Intelligent Cybernetics Technology & Applications (ICICyTA),"11 Mar 2025","2024","","","3","126","","","979-8-3315-0649-0","10.1109/ICICYTA64807.2024.10912961","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10912961","","","","","","","IEEE","11 Mar 2025","","","IEEE","IEEE Conferences"
"Table of Contents - Volume 2","",,2018 IEEE 42nd Annual Computer Software and Applications Conference (COMPSAC),"22 Jun 2018","2018","02","","4","23","Presents the table of contents/splash page of the proceedings record.","0730-3157","978-1-5386-2667-2","10.1109/COMPSAC.2018.10186","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8377812","","","","","","","IEEE","22 Jun 2018","","","IEEE","IEEE Conferences"
"Program Book","",,2022 6th International Conference on Universal Village (UV),"26 Jul 2023","2022","","","i","clxii","","","978-1-6654-7477-1","10.1109/UV56588.2022.10185521","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10185521","","","","","","","IEEE","26 Jul 2023","","","IEEE","IEEE Conferences"
"Index","",,"2022 37th International Technical Conference on Circuits/Systems, Computers and Communications (ITC-CSCC)","3 Oct 2022","2022","","","1","1076","Presents the conference author index.","","978-1-6654-8559-3","10.1109/ITC-CSCC55581.2022.9895001","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9895001","","","","","","","IEEE","3 Oct 2022","","","IEEE","IEEE Conferences"
"Table of Contents","",,"ICASSP 2025 - 2025 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","7 Mar 2025","2025","","","i","cccix","","2379-190X","979-8-3503-6874-1","10.1109/ICASSP49660.2025.10889635","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10889635","","","","","","","IEEE","7 Mar 2025","","","IEEE","IEEE Conferences"
"ISGT Asia 2024 Cover Page","",,2024 IEEE PES Innovative Smart Grid Technologies - Asia (ISGT Asia),"17 Feb 2025","2024","","","c1","c95","","2378-8542","979-8-3503-7392-9","10.1109/ISGTAsia61245.2024.10876257","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10876257","","","","","","","IEEE","17 Feb 2025","","","IEEE","IEEE Conferences"
"EMBC 2018 TOC","",,2018 40th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),"28 Oct 2018","2018","","","i","clxvii","Presents the table of contents/splash page of the proceedings record.","1558-4615","978-1-5386-3646-6","10.1109/EMBC.2018.8512261","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8512261","","","","","","","IEEE","28 Oct 2018","","","IEEE","IEEE Conferences"
"Table of Contents","",,2023 IEEE/CVF International Conference on Computer Vision (ICCV),"15 Jan 2024","2023","","","5","237","","2380-7504","979-8-3503-0718-4","10.1109/ICCV51070.2023.00004","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10376960","","","","","","","IEEE","15 Jan 2024","","","IEEE","IEEE Conferences"
